Date,language_learner,established_scholar,university_academic,language_teacher,language_teacher_secondary,language_teacher_adult_edu,language_teacher_private,language_teacher_other,language_teacher_primary,language_teacher_pre_elementary,test_developer,mid_career,materials_developer,professional_development_provider,teacher_educator,student,masters,early_career,language_teacher_tertiary,other,parent,media,phd,ncelp_hub_school_teacher,ncelp_specialist_teacher,undergraduate,policy_maker
2019-06-26,0,0,0,21,11,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0
2019-06-27,0,0,0,23,11,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-28,0,1,1,15,10,0,0,0,1,0,0,0,1,1,5,0,0,0,1,0,0,0,0,0,0,0,0
2019-06-29,0,0,0,7,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-30,0,0,0,16,8,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-01,0,0,0,32,17,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-02,1,0,0,29,14,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-03,4,0,0,38,19,0,0,1,0,0,0,0,0,0,3,1,0,0,1,1,0,0,0,0,0,0,0
2019-07-04,0,0,0,30,11,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
2019-07-05,0,0,2,18,10,0,0,2,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0
2019-07-06,1,0,0,5,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-07,3,0,1,61,28,0,0,0,3,1,0,0,1,0,5,0,0,0,1,0,4,0,0,0,0,0,0
2019-07-08,3,0,2,144,68,0,1,1,0,1,0,1,2,0,10,0,0,0,3,0,0,1,0,0,0,0,0
2019-07-09,0,1,1,85,39,1,0,1,1,0,0,0,2,0,8,0,0,0,2,0,0,0,0,0,0,0,0
2019-07-10,3,0,0,82,44,1,0,0,2,0,7,0,3,1,7,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-11,1,0,0,54,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-12,0,0,0,51,27,0,1,0,1,1,6,0,2,0,1,1,0,0,1,1,1,0,0,0,0,0,0
2019-07-13,2,0,0,18,7,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
2019-07-14,0,0,0,15,6,0,0,0,0,0,0,0,2,0,2,2,0,0,0,1,0,0,0,0,0,0,0
2019-07-15,0,0,0,4,3,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-17,1,0,6,65,31,0,2,0,4,1,0,4,2,0,11,1,0,1,1,0,0,0,0,0,0,0,0
2019-07-18,1,1,3,49,30,0,0,0,0,0,0,1,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0
2019-07-19,1,0,1,22,12,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0
2019-07-20,0,0,0,6,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-21,0,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-22,1,0,1,22,11,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-23,0,0,0,23,13,0,0,0,1,0,1,0,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0
2019-07-24,0,0,0,11,3,0,0,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-25,0,0,0,7,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
